EXPERIMENT 1,,,,,,
,BINARY SEARCH:,,,,,
,,SIZE,SIZE/INF,SIZE/10,SIZE/5,SIZE/2
,SEARCH VALUES,,4,64335,128911,320453
,,250,0.000418672,0.000458871,0.000348537,0.000108196
,,1000,0.00051917,0.000405842,0.000535421,0.000100071
,,4000,0.000642334,0.000650887,0.000654736,0.000107768
,,16000,0.000489662,0.000331859,0.000421666,5.56E-05
,,64000,0.000459299,0.000471701,0.000475122,5.94E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,TRINARY SEARCH:,,,,,
,,SIZE,SIZE/INF,SIZE/10,SIZE/5,SIZE/2
,SEARCH VALUES,,4,64335,128911,320453
,,250,0.000422521,0.000463148,0.000352386,0.000112045
,,1000,0.000523875,0.000411402,0.000540125,0.000104775
,,4000,0.00069237,0.000656019,0.000661579,0.000114611
,,16000,0.000493939,0.000336563,0.000425942,6.03E-05
,,64000,0.000463576,0.00047555,0.000479826,6.50E-05
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EXPERIMENT 2,,,,,,
,BINARY SEARCH:,,,,,
,,SIZE,SIZE/INF,SIZE/10,SIZE/5,SIZE/2
,SEARCH VALUES,,-1,64000,128000,320000
,,250,0.000317318,0.000272842,0.000292087,0.000258302
,,1000,0.00034255,0.000305344,0.000331431,0.000304061
,,4000,0.000343833,0.000375479,0.000354952,0.000361794
,,16000,0.00040627,0.000437061,0.000486241,0.000487524
,,64000,0.000484531,0.000799283,0.000508907,0.000385743
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,TRINARY SEARCH:,,,,,
,,SIZE,SIZE/INF,SIZE/10,SIZE/5,SIZE/2
,SEARCH VALUES,,-1,64000,128000,320000
,,250,0.000319884,0.000275836,0.00029508,0.000261296
,,1000,0.000345543,0.000308338,0.000334852,0.00030791
,,4000,0.000347682,0.0003789,0.000358801,0.000365643
,,16000,0.000410119,0.000441765,0.000490945,0.000493084
,,64000,0.000488807,0.000804415,0.000514466,0.000390875
